Area,Item,Status,Priority,Est. Hours,Notes
Completed Foundation,"Training quiz and knowledge-check interfaces reformatted for cleaner spacing, stronger readability, and a more modern instructional feel.",Completed,Completed,Delivered,"Important groundwork for curriculum expansion, but more instructional-content depth is still needed."
Completed Foundation,"Role-scoped navigation and access behavior tightened so learner experiences are better isolated from coach, manager, admin, and executive areas.",Completed,Completed,Delivered,Helps preserve a more credible multi-role demo path.
Completed Foundation,"Training brief completion, coaching-log save, and related learner/coach regressions repaired and validated.",Completed,Completed,Delivered,Stabilized several high-visibility flows that had previously blocked demos.
Completed Foundation,"Targeted regression coverage expanded across training layout, flash-card briefs, coaching popups, reporting surfaces, and content-library behavior.",Completed,Completed,Delivered,Automated validation supports safer future UI iterations.
Completed Foundation,Homepage and launch surfaces compacted with denser proof-led messaging inspired by modern security-training product patterns.,Completed,Completed,Delivered,"Creates a stronger first impression, though brand and messaging can continue to mature."
In Progress / Current Sprint,Finalize the client-facing roadmap package and align the product narrative around what is demo-ready versus what remains to reach production depth.,In Progress,High,4-6 hrs,This spreadsheet is part of that packaging work and should become the editable client planning artifact.
In Progress / Current Sprint,"Continue refinements to the new Content Missions library experience so launch behavior, readability, and hierarchy remain stable as more curriculum is added.",In Progress,High,8-16 hrs,"The main redesign is complete, but the surface will need another pass when more real content is migrated."
In Progress / Current Sprint,"Continue polish on the page-based training flow so lesson transitions, progress states, and in-course content density feel more intentional across all modules.",In Progress,High,12-24 hrs,This is especially important once the full seven-module curriculum is loaded in production depth.
In Progress / Current Sprint,Monitor the reusable coaching-log popup pattern across coach and manager flows and apply any follow-up adjustments found during stakeholder review.,In Progress,Medium,6-10 hrs,"The core workflow works, but client review may surface spacing or form-usability adjustments."
Queued / Roadmap,"Migrate the full training curriculum into the LMS at production depth across all seven planned modules, including learner and leadership tracks.",Queued,High,120-180 hrs,This is the single largest remaining body of work and likely the most important dependency for a production-ready rollout.
Queued / Roadmap,Create a structured content-ingestion and maintenance workflow so curriculum updates can be managed without repeated manual UI assembly.,Queued,High,24-40 hrs,Recommended before or during full curriculum migration to prevent future bottlenecks.
Queued / Roadmap,"Run a product-wide UI consistency pass across every role workspace, modal, card system, typography scale, spacing pattern, and state transition.",Queued,High,40-60 hrs,"The product is significantly improved, but it still needs a broader unification pass to feel fully coherent end to end."
Queued / Roadmap,Complete mobile and tablet responsiveness for priority workflows so the LMS is credible across common device sizes.,Queued,High,32-48 hrs,Current work has been optimized primarily for desktop demo quality rather than full responsive production readiness.
Queued / Roadmap,"Replace demo-style assumptions with production-grade authentication, SSO, tenant administration, and enterprise access-management controls.",Queued,High,32-56 hrs,Critical for real enterprise deployment and stakeholder trust.
Queued / Roadmap,"Connect reporting experiences to live operational data pipelines and define trustworthy source-of-truth metrics for coaching, QA, and learning outcomes.",Queued,High,40-80 hrs,"Current analytics storytelling is strong for demonstration, but production reporting needs validated live data integration."
Queued / Roadmap,"Build exportable reporting outputs for client stakeholders, including spreadsheet, PDF, presentation, or email-ready summaries where appropriate.",Queued,Medium,16-28 hrs,Important for operational adoption and client communications.
Queued / Roadmap,"Implement a notification and reminder system for coaching actions, assignment nudges, escalations, and manager follow-through.",Queued,Medium,24-40 hrs,Would materially improve day-to-day usefulness beyond demo interactions.
Queued / Roadmap,"Create admin-facing content and program management tools so non-developers can manage modules, briefs, assignments, and supporting artifacts.",Queued,High,36-60 hrs,This reduces long-term dependence on engineering for routine curriculum changes.
Queued / Roadmap,"Deepen coaching workflow functionality with edit history, approvals, linked action plans, attachment support, and richer cadence management.",Queued,Medium,24-36 hrs,"The current workflow proves the interaction model, but operational maturity will need more depth."
Queued / Roadmap,"Expand learner training states with stronger progress persistence, assignment orchestration, recommendation logic, and completion governance.",Queued,Medium,24-40 hrs,Important once the full curriculum and real user traffic are in place.
Queued / Roadmap,"Run a formal accessibility review covering color contrast, keyboard navigation, focus management, semantic structure, and assistive-technology behavior.",Queued,High,20-32 hrs,Recommended before external rollout so remediation is built into the next polish cycle.
Queued / Roadmap,"Perform performance optimization for large single-page views, training media loads, and state-heavy dashboards as real content volume increases.",Queued,Medium,18-30 hrs,Especially relevant because the main UI currently lives in a very large view file.
Queued / Roadmap,Refactor oversized UI and router files into more maintainable feature modules to improve delivery speed and reduce regression risk.,Queued,Medium,28-44 hrs,This is a technical-health investment that will make future roadmap delivery safer.
Queued / Roadmap,"Add stronger QA coverage for role-specific end-to-end scenarios, reporting accuracy checks, and curriculum-content regression verification.",Queued,High,24-40 hrs,Useful before introducing a larger body of curriculum and more production-oriented integrations.
Queued / Roadmap,"Prepare production hardening work across environment configuration, error monitoring, data backup practices, auditability, and release readiness.",Queued,High,30-50 hrs,Necessary for moving from persuasive demo environment to a dependable production program.
